season,driver_id,number
2023,drv:albon-a-1996,23
2024,drv:albon-a-1996,23
2025,drv:albon-a-1996,23
2023,drv:alonso-f-1981,14
2024,drv:alonso-f-1981,14
2025,drv:alonso-f-1981,14
2024,drv:antonelli-k-2006,12
2025,drv:antonelli-k-2006,12
2025,drv:aron-p-2004,97
2023,drv:bearman-o-2005,50
2024,drv:bearman-o-2005,50
2025,drv:bearman-o-2005,87
2025,drv:beganovic-d-2004,38
2025,drv:bortoleto-g-2004,5
2023,drv:bottas-v-1989,77
2024,drv:bottas-v-1989,77
2024,drv:browning-l-2002,46
2025,drv:browning-l-2002,46
2024,drv:colapinto-f-2003,43
2025,drv:colapinto-f-2003,43
2023,drv:dennis-j-1995,36
2023,drv:devries-n-1995,21
2023,drv:doohan-j-2003,61
2024,drv:doohan-j-2003,61
2025,drv:doohan-j-2003,7
2023,drv:drugovich-f-2000,34
2024,drv:drugovich-f-2000,34
2025,drv:drugovich-f-2000,34
2025,drv:dunne-a-2005,89
2023,drv:gasly-p-1996,10
2024,drv:gasly-p-1996,10
2025,drv:gasly-p-1996,10
2023,drv:hadjar-i-2004,37
2024,drv:hadjar-i-2004,37
2025,drv:hadjar-i-2004,6
2023,drv:hamilton-l-1985,44
2024,drv:hamilton-l-1985,44
2024,drv:hirakawa-r-1994,28
2023,drv:hulkenberg-n-1987,27
2024,drv:hulkenberg-n-1987,27
2024,drv:iwasa-a-2001,40
2023,drv:lawson-l-2002,40
2024,drv:lawson-l-2002,30
2024,drv:leclerc-a-2000,39
2023,drv:leclerc-c-1997,16
2024,drv:leclerc-c-1997,16
2023,drv:magnussen-k-1992,20
2024,drv:magnussen-k-1992,20
2023,drv:norris-l-1999,4
2024,drv:norris-l-1999,4
2023,drv:ocon-e-1996,31
2024,drv:ocon-e-1996,31
2023,drv:osullivan-z-2005,45
2023,drv:oward-p-1999,29
2024,drv:oward-p-1999,29
2023,drv:perez-s-1990,11
2024,drv:perez-s-1990,11
2023,drv:piastri-o-2001,81
2024,drv:piastri-o-2001,81
2023,drv:pourchaire-t-2003,98
2023,drv:ricciardo-d-1989,3
2024,drv:ricciardo-d-1989,3
2023,drv:russell-g-1998,63
2024,drv:russell-g-1998,63
2023,drv:sainz-c-1994,55
2024,drv:sainz-c-1994,55
2023,drv:sargeant-l-2000,2
2024,drv:sargeant-l-2000,2
2023,drv:shwartzman-r-1999,39
2024,drv:shwartzman-r-1999,97
2023,drv:stroll-l-1998,18
2024,drv:stroll-l-1998,18
2023,drv:tsunoda-y-2000,22
2024,drv:tsunoda-y-2000,22
2023,drv:verstappen-m-1997,1
2024,drv:verstappen-m-1997,1
2023,drv:vesti-f-2002,42
2023,drv:zhou-g-1999,24
2024,drv:zhou-g-1999,24
2025,drv:hamilton-l-1985,44
2025,drv:hirakawa-r-1994,50
2025,drv:hulkenberg-n-1987,27
2025,drv:iwasa-a-2001,37
2025,drv:lawson-l-2002,30
2025,drv:leclerc-c-1997,16
2025,drv:lindblad-a-2007,36
2025,drv:martins-v-2001,45
2025,drv:norris-l-1999,4
2025,drv:ocon-e-1996,31
2025,drv:piastri-o-2001,81
2025,drv:russell-g-1998,63
2025,drv:sainz-c-1994,55
2025,drv:stroll-l-1998,18
2025,drv:tsunoda-y-2000,22
2025,drv:verstappen-m-1997,1
2025,drv:vesti-f-2002,72
