circuit_id,circuit_short_name,circuit_name,lap_length_km,city,country_code,lat,lon,openf1_circuit_key
circuit:sakhir-63,Sakhir,,,Sakhir,BHR,26.022407,50.559644,63
circuit:singapore-61,Singapore,,,Marina Bay,SGP,1.326006,103.889236,61
circuit:spielberg-19,Spielberg,,,Spielberg,AUT,47.213367,14.785623,19
circuit:zandvoort-55,Zandvoort,,,Zandvoort,NLD,52.173383,6.692308,55
circuit:miami-151,Miami,,,Miami,USA,25.821203,-80.282007,151
circuit:catalunya-15,Catalunya,,,Barcelona,ESP,41.570000,2.261110,15
circuit:monza-39,Monza,,,Monza,ITA,45.620560,9.289440,39
circuit:imola-6,Imola,,,Imola,ITA,44.341110,11.713330,6
circuit:baku-144,Baku,,,Baku,AZE,40.375589,49.832801,144
circuit:hungaroring-4,Hungaroring,,,Budapest,HUN,47.583498,19.241491,4
circuit:interlagos-14,Interlagos,,,São Paulo,BRA,-29.146790,-51.153942,14
circuit:jeddah-149,Jeddah,,,Jeddah,SAU,21.581549,39.165348,149
circuit:las-vegas-152,Las Vegas,,,Las Vegas,USA,36.169213,-115.140620,152
circuit:lusail-150,Lusail,,,Lusail,QAT,25.422998,51.518828,150
circuit:melbourne-10,Melbourne,,,Melbourne,AUS,-37.735991,145.234605,10
circuit:mexico-city-65,Mexico City,,,Mexico City,MEX,18.593404,-98.457815,65
circuit:monte-carlo-22,Monte Carlo,,,Monaco,MCO,43.740444,7.425600,22
circuit:montreal-23,Montreal,,,Montréal,CAN,45.503624,-73.529721,23
circuit:spa-francorchamps-7,Spa-Francorchamps,,,Spa-Francorchamps,BEL,50.437220,5.971390,7
circuit:austin-9,Austin,,,Austin,USA,30.132780,-97.641110,9
circuit:shanghai-49,Shanghai,,,Shanghai,CHN,31.338890,121.219720,49
circuit:suzuka-46,Suzuka,,,Suzuka,JPN,34.841700,136.538900,46
circuit:silverstone-2,Silverstone,,,Silverstone,GBR,52.071000,-1.016000,2
circuit:yas-marina-circuit-70,Yas Marina Circuit,,,Yas Island,ARE,23.148137,53.675025,70
